"replicate","method","converged","beta_intercept","beta_intercept_gap_vs_reference","beta_x1","beta_x1_gap_vs_reference","delta","delta_gap_vs_reference","b","b_gap_vs_reference","delta_error_vs_truth","b_error_vs_truth","beta_intercept_error_vs_truth","beta_x1_error_vs_truth","criterion_gap_exact","criterion_gap_exact_pct"
18,"reference",FALSE,-0.139397865105346,0,1.05403401692144,0,6.55874316057668,0,0.340405067827291,0,0.558743160576683,-0.00959493217270885,0.210602134894654,0.154034016921439,0,0
18,"spline",TRUE,-0.146245488157645,-0.00684762305229905,1.06658953457835,0.0125555176569072,6.47789708186425,-0.0808460787124341,0.347571262549249,0.00716619472195795,0.477897081864249,-0.0024287374507509,0.203754511842355,0.166589534578347,0.0264582012052585,0.0147108033273106
18,"chebyshev",TRUE,-0.146521415156192,-0.00712355005084542,1.06692530480271,0.012891287881269,6.47798325609214,-0.0807599044845464,0.34536224327481,0.00495717544751884,0.477983256092137,-0.00463775672519001,0.203478584843808,0.166925304802709,0.0255094896195658,0.0141833181274213
19,"reference",FALSE,-0.330311776845286,0,0.808113464506574,0,5.70611601713175,0,0.342258353783567,0,-0.293883982868252,-0.00774164621643314,0.0196882231547141,-0.0918865354934265,0,0
19,"spline",TRUE,-0.322584286722252,0.00772749012303336,0.798818698835564,-0.00929476567100918,5.89554202012032,0.189426002988575,0.363313392476999,0.0210550386934321,-0.104457979879677,0.013313392476999,0.0274157132777475,-0.101181301164436,-0.0296260729799371,0.0206423656163954
19,"chebyshev",TRUE,-0.325938234735208,0.00437354211007773,0.80368121395442,-0.00443225055215302,5.88966454821854,0.183548531086788,0.363902238183776,0.0216438844002088,-0.110335451781464,0.0139022381837757,0.0240617652647919,-0.0963187860455795,-0.0165854255933198,0.0115561188022685
20,"reference",TRUE,-0.286195368007193,0,0.775135963253336,0,5.44131104719976,0,0.378675750857071,0,-0.558688952800239,0.0286757508570705,0.0638046319928074,-0.124864036746664,0,0
20,"spline",TRUE,-0.288360760328124,-0.00216539232093094,0.780465526309949,0.00532956305661325,5.49570183823449,0.0543907910347334,0.388687177285362,0.0100114264282911,-0.504298161765505,0.0386871772853616,0.0616392396718765,-0.119534473690051,0.0308898623425762,0.0236217326272518
20,"chebyshev",TRUE,-0.288146055898567,-0.00195068789137448,0.780289974522687,0.00515401126935111,5.49781364548028,0.0565025982805221,0.385223802266094,0.00654805140902381,-0.502186354519717,0.0352238022660943,0.0618539441014329,-0.119710025477313,0.0236802278194546,0.0181084656156779
21,"reference",TRUE,-0.286720856426299,0,1.14149207961404,0,6.8413229513479,0,0.301109491331309,0,0.841322951347897,-0.0488905086686905,0.0632791435737015,0.24149207961404,0,0
21,"spline",TRUE,-0.290514843094165,-0.00379398666786679,1.13542109315415,-0.00607098645988779,6.85268863493022,0.0113656835823193,0.316022687890167,0.0149131965588571,0.852688634930217,-0.0339773121098334,0.0594851569058347,0.235421093154152,0.0487886123926273,0.026970941319666
21,"chebyshev",TRUE,-0.290717937327258,-0.00399708090095918,1.13567897709988,-0.00581310251415768,6.85385737279969,0.012534421451794,0.31774294509059,0.0166334537592803,0.853857372799691,-0.0322570549094102,0.0592820626727423,0.235678977099883,0.0564300844421837,0.0311952404775489
22,"reference",TRUE,-0.435612880409171,0,0.770742404903442,0,4.52061650935713,0,0.453445756971967,0,-1.47938349064287,0.103445756971967,-0.0856128804091706,-0.129257595096558,0,0
22,"spline",FALSE,-0.478814695239,-0.0432018148298296,0.769782900450829,-0.000959504452612836,4.20065291314989,-0.319963596207235,0.4714701368819,0.0180243799099332,-1.79934708685011,0.121470136881901,-0.128814695239,-0.130217099549171,0.915005893207876,0.832720713900192
22,"chebyshev",TRUE,-0.477913908044725,-0.0423010276355544,0.770255023935294,-0.000487380968148599,4.19578431969978,-0.324832189657348,0.460745715637599,0.00729995866563193,-1.80421568030022,0.110745715637599,-0.127913908044725,-0.129744976064706,0.94587256023766,0.860811585440537
23,"reference",TRUE,-0.0178175447252525,0,0.619127846651166,0,6.14425934577729,0,0.27521254102603,0,0.144259345777289,-0.0747874589739698,0.332182455274747,-0.280872153348834,0,0
23,"spline",TRUE,-0.0197525304006398,-0.00193498567538726,0.610708452040042,-0.00841939461112384,6.12437966429786,-0.0198796814794324,0.27882878054002,0.00361623951398971,0.124379664297857,-0.0711712194599801,0.33024746959936,-0.289291547959958,0.0175580700028206,0.0114317500033287
23,"chebyshev",TRUE,-0.0199527641162545,-0.00213521939100197,0.609928518988446,-0.00919932766272025,6.12325417663836,-0.0210051691389328,0.280977739383457,0.00576519835742678,0.123254176638357,-0.069022260616543,0.330047235883745,-0.290071481011554,0.0238062006672806,0.0154997977860726
24,"reference",FALSE,-0.37653157846229,0,1.13939949101359,0,6.54632224366965,0,0.309422614996245,0,0.546322243669652,-0.0405773850037548,-0.0265315784622897,0.239399491013595,0,0
24,"spline",TRUE,-0.372202974734332,0.00432860372795774,1.13188318143808,-0.00751630957551641,6.59343393775295,0.047111694083295,0.320084657252852,0.0106620422566065,0.593433937752947,-0.0299153427471483,-0.0222029747343319,0.231883181438078,0.342136659969498,0.199171674712075
24,"chebyshev",TRUE,-0.371238908525575,0.00529266993671429,1.13017892920763,-0.00922056180596775,6.59153640250298,0.0452141588333284,0.319224177254896,0.00980156225865114,0.591536402502981,-0.0307758227451037,-0.0212389085255754,0.230178929207627,0.337761137101495,0.196624504767063
25,"reference",TRUE,-0.253221397929491,0,0.73351699924252,0,6.72018754601102,0,0.304735705918057,0,0.72018754601102,-0.0452642940819434,0.0967786020705087,-0.16648300075748,0,0
25,"spline",TRUE,-0.25271147693444,0.000509920995050928,0.736602368105085,0.00308536886256561,6.67027489354775,-0.0499126524632656,0.310231151551932,0.00549544563387527,0.670274893547754,-0.0397688484480681,0.0972885230655596,-0.163397631894915,0.013740191521407,0.00810334349287706
25,"chebyshev",TRUE,-0.255286110419357,-0.00206471248986601,0.737203457318742,0.0036864580762227,6.64994405011732,-0.0702434958937026,0.316016525556415,0.011280819638358,0.649944050117317,-0.0339834744435853,0.0947138895806427,-0.162796542681258,0.031741712322173,0.0187198262555453
26,"reference",TRUE,-0.251197941543689,0,0.705409839270073,0,6.93518606339098,0,0.281582139196981,0,0.935186063390981,-0.0684178608030189,0.0988020584563107,-0.194590160729927,0,0
26,"spline",TRUE,-0.254050714088301,-0.00285277254461203,0.705653982000803,0.000244142730729813,6.9866647963254,0.0514787329344184,0.304551324591537,0.0229691853945557,0.9866647963254,-0.0454486754084631,0.0959492859116987,-0.194346017999197,0.0665983218479482,0.0393660908289549
26,"chebyshev",TRUE,-0.253455673131629,-0.0022577315879394,0.704164417482388,-0.00124542178768483,6.98088144401063,0.045695380619649,0.30861479956195,0.0270326603649688,0.98088144401063,-0.0413852004380501,0.0965443268683713,-0.195835582517612,0.0889195596610364,0.0525601151043849
27,"reference",TRUE,-0.642450291664367,0,1.18090021644581,0,6.06899702854194,0,0.277555626410512,0,0.0689970285419399,-0.0724443735894878,-0.292450291664367,0.280900216445815,0,0
27,"spline",TRUE,-0.621223575786785,0.0212267158775817,1.15075608375288,-0.0301441326929359,6.18166469519948,0.112667666657544,0.304332247516947,0.0267766211064349,0.181664695199484,-0.0456677524830529,-0.271223575786785,0.250756083752879,0.217524973702723,0.146159123990242
27,"chebyshev",TRUE,-0.62093739963202,0.0215128920323472,1.14959592060758,-0.0313042958382379,6.1780248023122,0.109027773770265,0.307209793601222,0.0296541671907095,0.178024802312205,-0.0427902063987783,-0.27093739963202,0.249595920607577,0.2400967278694,0.161325510450461
28,"reference",FALSE,-0.339221644450294,0,0.820165996897883,0,6.52807770071312,0,0.209470889078371,0,0.528077700713124,-0.140529110921629,0.0107783555497062,-0.0798340031021172,0,0
28,"spline",TRUE,-0.371692522737864,-0.0324708782875703,0.8909313858748,0.0707653889769173,6.69011320507769,0.162035504364566,0.210180811554855,0.000709922476483937,0.69011320507769,-0.139819188445145,-0.0216925227378641,-0.00906861412519988,-0.1395722974043,0.088791778887026
28,"chebyshev",TRUE,-0.371559402724322,-0.0323377582740283,0.890963040254587,0.0707970433567041,6.6934653365668,0.165387635853677,0.203600975497983,-0.00586991358038794,0.693465336566801,-0.146399024502017,-0.0215594027243221,-0.00903695974541308,-0.160058449488417,0.101824464598503
29,"reference",TRUE,-0.371694945967694,0,0.990348015357274,0,6.77601096782532,0,0.465932185131229,0,0.776010967825321,0.115932185131229,-0.0216949459676938,0.090348015357274,0,0
29,"spline",TRUE,-0.381402826620168,-0.0097078806524743,1.00321784679182,0.0128698314345413,7.07382746019032,0.297816492365003,0.505729267160563,0.0397970820293346,1.07382746019032,0.155729267160563,-0.0314028266201681,0.103217846791815,0.481405820951011,0.259588452604656
29,"chebyshev",TRUE,-0.38072245333059,-0.00902750736289659,1.00279443552304,0.0124464201657676,7.0775965854827,0.301585617657381,0.509528746144943,0.0435965610137147,1.0775965854827,0.159528746144943,-0.0307224533305904,0.102794435523042,0.521656448675486,0.281292797904681
30,"reference",TRUE,-0.508542640341814,0,1.12869748750317,0,6.14954895588679,0,0.457124533500284,0,0.14954895588679,0.107124533500285,-0.158542640341814,0.228697487503169,0,0
30,"spline",TRUE,-0.527900788874446,-0.0193581485326323,1.15954670022113,0.0308492127179605,6.16959227817918,0.0200433222923886,0.457601314118688,0.000476780618403394,0.169592278179179,0.107601314118688,-0.177900788874446,0.25954670022113,-0.00673069627200107,0.00407392275348727
30,"chebyshev",TRUE,-0.528692224742701,-0.020149584400887,1.16005309918712,0.0313556116839502,6.16847504649144,0.0189260906046531,0.454985737529372,-0.00213879597091254,0.168475046491444,0.104985737529372,-0.178692224742701,0.26005309918712,-0.00403345529113608,0.00244134999139511
31,"reference",TRUE,-0.41351324794352,0,0.837070048935127,0,5.03704633256026,0,0.445011960593558,0,-0.962953667439735,0.0950119605935582,-0.06351324794352,-0.062929951064873,0,0
31,"spline",TRUE,-0.42212426727208,-0.0086110193285599,0.855879419306362,0.0188093703712346,5.106127721652,0.0690813890917354,0.470058171997339,0.0250462114037808,-0.893872278348,0.120058171997339,-0.0721242672720799,-0.0441205806936383,0.122128134288076,0.0988342753706212
31,"chebyshev",TRUE,-0.423035108294777,-0.00952186035125729,0.85513395929247,0.0180639103573431,5.09513071578313,0.0580843832228606,0.471572198296429,0.0265602377028704,-0.904869284216875,0.121572198296429,-0.0730351082947773,-0.0448660407075299,0.11896520449605,0.0962746204977671
