"x","q","t","reference","surrogate","value_error","grad_error","hess_error","region","q_low_cut","t_high_cut"
3.75,10.05,0.56,0.314429941872986,0.314287347878372,0.000142593994613582,0.000637668451410907,0.00717265793874982,"interior_stable",5,1.875
-3.75,14.95,0.56,0.512069490307828,0.510801723058545,0.00126776724928268,0.0194703718084378,0.185459341185127,"interior_stable",5,1.875
-2.5,14.95,0.56,-0.00267669627798073,-0.00334090118902972,0.000664204911048997,0.00620621859994962,0.0798833008536868,"interior_stable",5,1.875
-1.25,14.95,0.56,-0.346254535609629,-0.345939856116084,0.0003146794935453,0.00485965588760505,0.0250992351577501,"interior_stable",5,1.875
0,14.95,0.56,-0.361735202584282,-0.361660087475269,7.5115109013757e-05,0.00178692863988133,0.0118666130503924,"interior_stable",5,1.875
1.25,14.95,0.56,-0.133942947521375,-0.134123290612024,0.000180343090649293,0.000172550549774938,0.0112926558327684,"interior_stable",5,1.875
2.5,14.95,0.56,0.132285027374,0.132091852077433,0.000193175296567372,0.000313315476499897,0.00520318947392429,"interior_stable",5,1.875
3.75,14.95,0.56,0.291227272304996,0.291077840459977,0.000149431845018644,0.000441985863152445,0.00434015045409981,"interior_stable",5,1.875
-3.75,19.85,0.56,0.392417273705951,0.391247056048429,0.00117021765752201,0.0163849189259723,0.184709469413141,"interior_stable",5,1.875
-2.5,19.85,0.56,-0.132747070998772,-0.133243338738215,0.000496267739442752,0.00474851572738787,0.0731569544708974,"interior_stable",5,1.875
-1.25,19.85,0.56,-0.449130600349378,-0.448869596205453,0.000261004143924992,0.00418734532114572,0.0120339287137039,"interior_stable",5,1.875
0,19.85,0.56,-0.441926529489232,-0.441884035351922,4.24941373106669e-05,0.00151680341785921,0.00672431425732456,"interior_stable",5,1.875
1.25,19.85,0.56,-0.209428300458822,-0.20958912968263,0.000160829223807474,0.000574757135854921,0.01690088272397,"interior_stable",5,1.875
2.5,19.85,0.56,0.0766476026965404,0.0764469480676141,0.000200654628926294,0.000534535585113871,0.0053330442780345,"interior_stable",5,1.875
3.75,19.85,0.56,0.265471504621302,0.265353866563278,0.000117638058024339,0.000107014684505442,0.0022996182761258,"interior_stable",5,1.875
-3.75,24.75,0.56,0.277007745678964,0.275946979973427,0.00106076570553687,0.0157767269308905,0.178684146534786,"interior_stable",5,1.875
-2.5,24.75,0.56,-0.24845634456691,-0.248791922102199,0.000335577535288401,0.00362548296977952,0.0682358940909511,"interior_stable",5,1.875
-1.25,24.75,0.56,-0.533783588151904,-0.533612873769386,0.000170714382517589,0.00312114919833697,0.00514977168470001,"interior_stable",5,1.875
0,24.75,0.56,-0.508552726969943,-0.508566235400127,1.35084301846611e-05,0.000928533367960415,0.0166343633140973,"interior_stable",5,1.875
1.25,24.75,0.56,-0.276670005872786,-0.276825029225313,0.000155023352527206,0.000839559478751099,0.023061235596679,"interior_stable",5,1.875
2.5,24.75,0.56,0.0214224304758837,0.021238763353636,0.000183667122247676,0.000915452062353983,0.00373862163945498,"interior_stable",5,1.875
3.75,24.75,0.56,0.23733648489387,0.237281910018529,5.45748753407183e-05,0.000368143304880625,0.00193529067637909,"interior_stable",5,1.875
-3.75,0.25,1.02,1.69949239423322,1.7052092684255,0.00571687419227307,0.0381955762598604,0.495076678666803,"low_separation",5,1.875
-2.5,0.25,1.02,0.99384237572048,0.995437420976197,0.00159504525571785,0.00916445875574226,0.157315901208209,"low_separation",5,1.875
-1.25,0.25,1.02,0.404824075373922,0.402959880877033,0.0018641944968889,0.0206326002896324,0.0671299501703782,"low_separation",5,1.875
0,0.25,1.02,0.154730880254823,0.152143010856243,0.00258786939857961,0.0247454598600674,0.0778216033544683,"low_separation",5,1.875
1.25,0.25,1.02,0.370701390801861,0.371128007280663,0.000426616478802377,0.0120536391337001,0.0200445676946568,"low_separation",5,1.875
2.5,0.25,1.02,0.750982704244809,0.750205744961051,0.000776959283757428,0.00474386362472133,0.0607896668475029,"low_separation",5,1.875
3.75,0.25,1.02,0.966916342991041,0.966449495293425,0.000466847697616291,0.00561587850848138,0.0215128369040315,"low_separation",5,1.875
-3.75,5.15,1.02,1.30270448861863,1.30339318747879,0.000688698860155101,0.0218434130007848,0.198017463544175,"transition",5,1.875
-2.5,5.15,1.02,0.413055938086778,0.413314604263492,0.000258666176713607,0.00830446839281772,0.0664411965038461,"transition",5,1.875
-1.25,5.15,1.02,-0.323755848017201,-0.324383056055947,0.00062720803874633,0.00152272787980092,0.0168703222398475,"transition",5,1.875
0,5.15,1.02,-0.514495623026699,-0.514984107890293,0.000488484863594651,0.00368431768165312,0.0408407999858584,"transition",5,1.875
1.25,5.15,1.02,-0.0567658206662345,-0.0571698228865812,0.000404002220346686,0.00254516108203136,0.014346323330573,"transition",5,1.875
2.5,5.15,1.02,0.551174362844373,0.550550656980062,0.000623705864310597,0.0022967627699178,0.0277707129096538,"transition",5,1.875
3.75,5.15,1.02,0.895355902609875,0.895122790574557,0.000233112035318506,0.00145186360388008,0.00870930642720724,"transition",5,1.875
-3.75,10.05,1.02,0.929133559551707,0.930260291332789,0.00112673178108191,0.00624286678190066,0.107206249349765,"interior_stable",5,1.875
-2.5,10.05,1.02,-0.0846022480931961,-0.0845361534667156,6.60946264804396e-05,0.00272190878489115,0.0105893707913986,"interior_stable",5,1.875
-1.25,10.05,1.02,-0.86244556463982,-0.863028180256028,0.000582615616207205,0.00321358806011802,0.0546376101482701,"interior_stable",5,1.875
0,10.05,1.02,-0.981452718131152,-0.981974230617007,0.000521512485854858,0.00271009470676056,0.0312434902417226,"interior_stable",5,1.875
1.25,10.05,1.02,-0.410772222746656,-0.411124789476031,0.000352566729375114,0.000376017829562559,0.0155346383419524,"interior_stable",5,1.875
2.5,10.05,1.02,0.347286626375805,0.346499328877379,0.000787297498425321,0.0019075812169786,0.0243196703865173,"interior_stable",5,1.875
3.75,10.05,1.02,0.813845555387175,0.813519066385147,0.000326489002028141,0.00128026852656727,0.00862802555067291,"interior_stable",5,1.875
-3.75,14.95,1.02,0.577908434032287,0.579007142130721,0.00109870809843393,0.0028815523066348,0.0393969277730469,"interior_stable",5,1.875
-2.5,14.95,1.02,-0.512599439141137,-0.512778004027751,0.00017856488661383,0.00250960927333982,40.0436019266318,"interior_stable",5,1.875
-1.25,14.95,1.02,-1.27377183331674,-1.27433694853391,0.000565115217167733,0.00306024567409474,0.0731651839076272,"interior_stable",5,1.875
0,14.95,1.02,-1.32633369837788,-1.32675671152148,0.000423013143602047,0.00148512135367903,0.047648819857955,"interior_stable",5,1.875
1.25,14.95,1.02,-0.707322627354615,-0.707680388745507,0.00035776139089172,0.00157483840573078,0.0419246376546882,"interior_stable",5,1.875
2.5,14.95,1.02,0.143982417094955,0.143105851652617,0.000876565442338606,0.0012145216576698,0.0293359340134618,"interior_stable",5,1.875
3.75,14.95,1.02,0.722911475850927,0.722595282354436,0.000316193496490258,0.00100077071482522,0.00818150557236276,"interior_stable",5,1.875
-3.75,19.85,1.02,0.248321146147425,0.249145038389123,0.000823892241698793,0.00517439212965834,0.00936000698866979,"interior_stable",5,1.875
-2.5,19.85,1.02,-0.881583949453309,-0.881789097289894,0.000205147836584652,0.00243613128745037,0.0539354743553651,"interior_stable",5,1.875
-1.25,19.85,1.02,-1.59540568106578,-1.59589771247749,0.000492031411712723,0.0023877501509781,0.0762871039902525,"interior_stable",5,1.875
0,19.85,1.02,-1.59167860715577,-1.59198956460769,0.000310957451920002,0.000317334720773325,0.0563759603631163,"interior_stable",5,1.875
1.25,19.85,1.02,-0.958557827705933,-0.958909817807406,0.000351990101472799,0.00217463740078973,0.0612778526797087,"interior_stable",5,1.875
2.5,19.85,1.02,-0.0550402925379863,-0.0558940881184457,0.000853795580459407,0.00130788244063494,0.0399182360771369,"interior_stable",5,1.875
3.75,19.85,1.02,0.623351837112268,0.623183649763491,0.000168187348776883,0.000862330590941058,0.00400879703001904,"interior_stable",5,1.875
-3.75,24.75,1.02,-0.0602619733788545,-0.0594238793554558,0.000838094023398725,0.00394974423324009,0.0147157709865541,"interior_stable",5,1.875
-2.5,24.75,1.02,-1.20023357719869,-1.20036691185373,0.000133334655040507,0.00250633583127217,0.0649888327026629,"interior_stable",5,1.875
-1.25,24.75,1.02,-1.85168476642133,-1.85208384536796,0.000399078946635933,0.00181180902083866,0.0711140118048819,"interior_stable",5,1.875
0,24.75,1.02,-1.80229834094989,-1.80253290896909,0.000234568019206849,0.000592530678153998,0.0577292930164016,"interior_stable",5,1.875
1.25,24.75,1.02,-1.17367222345489,-1.17402218023291,0.000349956778024296,0.00214323469560735,0.0715894029008448,"interior_stable",5,1.875
2.5,24.75,1.02,-0.247071359065569,-0.24781820697786,0.000746847912290877,0.00167361099571831,0.0528706666367414,"interior_stable",5,1.875
3.75,24.75,1.02,0.516197988136452,0.516252886726982,5.48985905305388e-05,0.0014787267968849,0.00321774423003754,"interior_stable",5,1.875
-3.75,0.25,1.48,2.17430247881351,2.16190093105181,0.0124015477617081,0.146647504262684,0.825878863642217,"low_separation",5,1.875
-2.5,0.25,1.48,1.3354848389169,1.33903477313369,0.00354993421678929,0.136515068739894,1.34246908291903,"low_separation",5,1.875
-1.25,0.25,1.48,0.691877143373993,0.695558825230091,0.0036816818560983,0.0950678791947727,1.14528107415222,"low_separation",5,1.875
0,0.25,1.48,0.400688756978353,0.407878762537078,0.00719000555872579,0.0211306125596263,0.424229248376063,"low_separation",5,1.875
1.25,0.25,1.48,0.608512995973677,0.606136797184169,0.00237619878950845,0.0170381081146122,0.115228615498647,"low_separation",5,1.875
2.5,0.25,1.48,1.15158392347546,1.15114471937919,0.000439204096273071,0.00465676254114044,0.0337963768530679,"low_separation",5,1.875
3.75,0.25,1.48,1.61191384942856,1.61236631470703,0.000452465278461434,0.00756800757457051,0.01796627524909,"low_separation",5,1.875
-3.75,5.15,1.48,1.2544623388741,1.2624338577038,0.00797151882970493,0.0904672421382458,0.862618746130876,"transition",5,1.875
-2.5,5.15,1.48,-0.02725475394484,-0.0292269592630388,0.00197220531819883,0.0234677357778868,0.292246994798504,"transition",5,1.875
-1.25,5.15,1.48,-1.11076322385667,-1.11099602168358,0.000232797826914766,0.0059466159707196,0.0884140925613794,"transition",5,1.875
0,5.15,1.48,-1.36774309165183,-1.36926408564744,0.00152099399560579,0.00174014178316353,0.0768139224927742,"transition",5,1.875
1.25,5.15,1.48,-0.572985168365665,-0.573223352537069,0.000238184171404754,0.0030744750653595,0.0162228891572987,"transition",5,1.875
2.5,5.15,1.48,0.603984655041454,0.603285341680848,0.000699313360605469,0.0010566088742603,0.0187427806012839,"transition",5,1.875
3.75,5.15,1.48,1.41027503434785,1.41008763486822,0.000187399479636641,0.0014431318569331,0.00472796778432119,"transition",5,1.875
-3.75,10.05,1.48,0.45791716770263,0.454669318734759,0.003247848967871,0.021312995554423,0.20179688285518,"transition",5,1.875
-2.5,10.05,1.48,-1.07746533663426,-1.07828043589455,0.000815099260297325,0.00673773809717072,0.091124750738442,"transition",5,1.875
-1.25,10.05,1.48,-2.24319256418778,-2.24367610755887,0.000483543371089912,0.00324970427183877,0.0706156026112174,"transition",5,1.875
0,10.05,1.48,-2.40292934344417,-2.40385079728143,0.000921453837258834,0.00276426358783448,0.0910116778361424,"transition",5,1.875
1.25,10.05,1.48,-1.4149987198486,-1.41559673724645,0.000598017397847928,0.0042445980946808,0.0468319192981088,"transition",5,1.875
2.5,10.05,1.48,0.0859545379068782,0.084853202049927,0.00110133585695125,0.0012110280003904,0.0296945775642293,"transition",5,1.875
3.75,10.05,1.48,1.186883063515,1.18657228817389,0.000310775341102243,0.00166845644529598,0.00911548776540237,"transition",5,1.875
-3.75,14.95,1.48,-0.24939028771822,-0.25035306469178,0.000962776973560342,0.00586164179197358,0.0907322747393932,"transition",5,1.875
-2.5,14.95,1.48,-1.89928987181084,-1.90006159034308,0.000771718532235566,0.00296676980315264,0.0698864514072057,"transition",5,1.875
-1.25,14.95,1.48,-3.02735903270558,-3.02770366018909,0.000344627483504834,0.0029702401643134,0.0609151764462815,"transition",5,1.875
0,14.95,1.48,-3.09506693663115,-3.09557237511095,0.000505438479803111,0.00023390886511985,0.0619963192651183,"transition",5,1.875
1.25,14.95,1.48,-2.0512756328111,-2.05160423163911,0.000328598828009508,0.00495921209022993,0.0629488623937528,"transition",5,1.875
2.5,14.95,1.48,-0.397136717455663,-0.398370970130345,0.00123425267468202,0.00303944184711195,0.0519185365059487,"transition",5,1.875
3.75,14.95,1.48,0.944979558360572,0.944907559496376,7.19988641959546e-05,0.003022147324419,0.00311934795759646,"transition",5,1.875
-3.75,19.85,1.48,-0.872055989008349,-0.872262974775714,0.000206985767364887,0.00639001154620958,0.0612497334930614,"transition",5,1.875
-2.5,19.85,1.48,-2.56033169714261,-2.5607477985453,0.000416101402689328,0.000750943182499369,0.0557461446610069,"transition",5,1.875
-1.25,19.85,1.48,-3.60388575857893,-3.60396596301126,8.02044323280349e-05,0.00317603093388736,0.0408478350441217,"transition",5,1.875
0,19.85,1.48,-3.59364932440962,-3.59373578897867,8.64645690539234e-05,0.000983511471981701,0.0411899295970501,"transition",5,1.875
1.25,19.85,1.48,-2.55164946787201,-2.55172798502577,7.85171537653895e-05,0.00426129983459936,0.0580501372397344,"transition",5,1.875
2.5,19.85,1.48,-0.843169759572363,-0.844153307238034,0.000983547665671103,0.00362494806818111,0.0697895636567052,"transition",5,1.875
3.75,19.85,1.48,0.688282402394734,0.688642405889233,0.000360003494498495,0.00457755191047736,0.0136811447820345,"transition",5,1.875
-3.75,24.75,1.48,-1.42473290828341,-1.42512441246285,0.000391504179437563,0.00254987909241178,0.0663868338622077,"transition",5,1.875
-2.5,24.75,1.48,-3.10283267337874,-3.10281113550421,2.15378745389572e-05,0.000666485004447383,0.0389257301690377,"transition",5,1.875
-1.25,24.75,1.48,-4.04447038509113,-4.04437014026836,0.000100244822766271,0.00291888878441811,0.0242051661401026,"transition",5,1.875
0,24.75,1.48,-3.97096698885209,-3.9708409660136,0.000126022838491835,0.00140797910366373,0.0268807834438166,"transition",5,1.875
1.25,24.75,1.48,-2.95684658102891,-2.95676769690456,7.88841243526406e-05,0.00326022411454941,0.0475893948764084,"transition",5,1.875
2.5,24.75,1.48,-1.25220642047574,-1.25277448381338,0.000568063337638147,0.00327178448434728,0.0781384195342309,"transition",5,1.875
3.75,24.75,1.48,0.420741328007446,0.42143015597237,0.000688827964924699,0.00532263704813664,0.030257705817132,"transition",5,1.875
-3.75,0.25,1.94,1.34060772187038,1.38268777313707,0.0420800512666921,0.612619644380119,2.29083244642622,"high_t_low_q",5,1.875
-2.5,0.25,1.94,0.608947578854231,0.551464349794954,0.0574832290592765,0.842529370986115,2.07709208771145,"high_t_low_q",5,1.875
-1.25,0.25,1.94,0.185532048342314,0.195246034900229,0.00971398655791594,0.862553546263264,3.0414465658379,"high_t_low_q",5,1.875
0,0.25,1.94,0.424019363316029,0.410885626265659,0.0131337370503698,0.477472054187721,3.18632348465334,"high_t_low_q",5,1.875
1.25,0.25,1.94,0.860348857913984,0.871934494583373,0.0115856366693894,0.0250096382051301,0.472828725553324,"high_t_low_q",5,1.875
2.5,0.25,1.94,1.46247389669185,1.46122083481252,0.00125306187933316,0.0159999882535815,3.47270187959231,"high_t_low_q",5,1.875
3.75,0.25,1.94,2.13252954626164,2.13046198955798,0.00206755670366432,0.00694829937937583,0.102372887374002,"high_t_low_q",5,1.875
-3.75,5.15,1.94,0.13483158403303,0.117016455051596,0.0178151289814341,0.402368747073784,0.74263308706512,"high_dependence",5,1.875
-2.5,5.15,1.94,-1.46492474450725,-1.45003111631381,0.0148936281934386,0.279376981929981,1.08050723672328,"high_dependence",5,1.875
-1.25,5.15,1.94,-2.7629246387879,-2.76227496194766,0.000649676840235092,0.0797166329840121,0.396393883724874,"high_dependence",5,1.875
0,5.15,1.94,-3.0236626609624,-3.02609431899242,0.00243165803002254,0.00675932912574958,0.133634435339774,"high_dependence",5,1.875
1.25,5.15,1.94,-1.77597970259687,-1.77653769870331,0.000557996106442582,0.005683125620291,0.0490754813022484,"high_dependence",5,1.875
2.5,5.15,1.94,0.145520092183832,0.144530234899478,0.000989857284353357,0.00201796507363498,0.0252418568741244,"high_dependence",5,1.875
3.75,5.15,1.94,1.63493076252627,1.63451388374842,0.000416878777851126,0.00126257159439484,0.0120483342473963,"high_dependence",5,1.875
-3.75,10.05,1.94,-1.08277435403274,-1.0780596668232,0.00471468720954671,0.177392764734971,0.89090804375369,"high_dependence",5,1.875
-2.5,10.05,1.94,-3.02567813972344,-3.02508952804414,0.000588611679294804,0.0567446625789089,0.234549297487767,"high_dependence",5,1.875
-1.25,10.05,1.94,-4.50438236353924,-4.50556449594023,0.00118213240098886,0.00285901233089003,0.045567137305717,"high_dependence",5,1.875
0,10.05,1.94,-4.67166916627087,-4.67068523977273,0.000983926498133947,0.00375175968243336,0.0256063217257402,"high_dependence",5,1.875
1.25,10.05,1.94,-3.27024718705588,-3.27086640457535,0.000619217519473914,0.00651581437479402,0.054790156628514,"high_dependence",5,1.875
2.5,10.05,1.94,-0.919460539218456,-0.920834118840771,0.00137357962231588,0.00437234064580479,0.0462982139876714,"high_dependence",5,1.875
3.75,10.05,1.94,1.11792930151804,1.11782155677768,0.000107744740359461,0.00317584820296513,0.0114543899260947,"high_dependence",5,1.875
-3.75,14.95,1.94,-2.10311501419931,-2.10448345155037,0.00136843735105829,0.0580250600173013,0.219412285964401,"high_dependence",5,1.875
-2.5,14.95,1.94,-4.21208430877308,-4.21152741627588,0.000556892497201034,0.00768389822666414,0.0622426895399058,"high_dependence",5,1.875
-1.25,14.95,1.94,-5.60919938463101,-5.60890398916662,0.000295395464388726,0.00252550255500752,0.00679984981505728,"high_dependence",5,1.875
0,14.95,1.94,-5.67204876216494,-5.67223080513295,0.000182042968011054,0.00250129782154671,0.00796042054648115,"high_dependence",5,1.875
1.25,14.95,1.94,-4.27383103014208,-4.27356252884393,0.000268501298151591,0.00552774070790334,0.0229754939135475,"high_dependence",5,1.875
2.5,14.95,1.94,-1.80617047922768,-1.8070432635932,0.000872784365523627,0.00559819611840071,0.0496278168795777,"high_dependence",5,1.875
3.75,14.95,1.94,0.591872951186305,0.592190309768067,0.000317358581762073,0.00556195388839002,0.03126931381859,"high_dependence",5,1.875
-3.75,19.85,1.94,-3.00274218158338,-3.0036815405056,0.000939358922221079,0.022314653033616,0.106475511277899,"high_dependence",5,1.875
-2.5,19.85,1.94,-5.11551580573653,-5.11553631914367,2.05134071347146e-05,0.00354345279033235,0.021179636726199,"high_dependence",5,1.875
-1.25,19.85,1.94,-6.37961791129927,-6.37923820093739,0.000379710361885444,0.00235175686303336,0.0112821401589563,"high_dependence",5,1.875
0,19.85,1.94,-6.35544775960957,-6.35524789260094,0.000199867008637611,0.00203093432401012,0.00642150231634433,"high_dependence",5,1.875
