"x","q","t","value","nu","backend"
2.5,18.75,0.208333333333333,0.0184320589019196,6,"series_reference"
3,18.75,0.208333333333333,0.0303921574610692,6,"series_reference"
3.5,18.75,0.208333333333333,0.0393627457803701,6,"series_reference"
4,18.75,0.208333333333333,0.0456619729661807,6,"series_reference"
-4,20.8333333333333,0.208333333333333,0.112959549180575,6,"series_reference"
-3.5,20.8333333333333,0.208333333333333,0.0692799732081679,6,"series_reference"
-3,20.8333333333333,0.208333333333333,0.0273276572550932,6,"series_reference"
-2.5,20.8333333333333,0.208333333333333,-0.00961224166829922,6,"series_reference"
-2,20.8333333333333,0.208333333333333,-0.0385151903133594,6,"series_reference"
-1.5,20.8333333333333,0.208333333333333,-0.0575962623433527,6,"series_reference"
-1,20.8333333333333,0.208333333333333,-0.0667408827898739,6,"series_reference"
-0.5,20.8333333333333,0.208333333333333,-0.0671387044256713,6,"series_reference"
0,20.8333333333333,0.208333333333333,-0.0605616647950277,6,"series_reference"
0.5,20.8333333333333,0.208333333333333,-0.048839246264222,6,"series_reference"
1,20.8333333333333,0.208333333333333,-0.0337055695338559,6,"series_reference"
1.5,20.8333333333333,0.208333333333333,-0.0168656761407151,6,"series_reference"
2,20.8333333333333,0.208333333333333,-3.02103563342426e-05,6,"series_reference"
2.5,20.8333333333333,0.208333333333333,0.0152519274661853,6,"series_reference"
3,20.8333333333333,0.208333333333333,0.0279099437235365,6,"series_reference"
3.5,20.8333333333333,0.208333333333333,0.0375602661870158,6,"series_reference"
4,20.8333333333333,0.208333333333333,0.0444265606790804,6,"series_reference"
-4,22.9166666666667,0.208333333333333,0.104581367634235,6,"series_reference"
-3.5,22.9166666666667,0.208333333333333,0.0605784744088007,6,"series_reference"
-3,22.9166666666667,0.208333333333333,0.0188007616120079,6,"series_reference"
-2.5,22.9166666666667,0.208333333333333,-0.0174319144347173,6,"series_reference"
-2,22.9166666666667,0.208333333333333,-0.0452605471394626,6,"series_reference"
-1.5,22.9166666666667,0.208333333333333,-0.0632101693879807,6,"series_reference"
