"x","q","t","reference","surrogate","value_error","grad_error","hess_error","region","q_low_cut","t_high_cut"
2.5,10.05,1.02,0.347286626375805,0.347148443092111,0.000138183283693305,0.00197864889681534,0.0160575992463395,"interior_stable",5,1.875
3.75,10.05,1.02,0.813845555387175,0.813766407652619,7.91477345563063e-05,0.00327030565565854,0.00843698307989018,"interior_stable",5,1.875
-3.75,14.95,1.02,0.577908434032287,0.578398624343381,0.000490190311093985,0.00238965795871247,0.073196119661392,"interior_stable",5,1.875
-2.5,14.95,1.02,-0.512599439141137,-0.51179727058679,0.00080216855434756,0.00231619919596579,40.0886433035847,"interior_stable",5,1.875
-1.25,14.95,1.02,-1.27377183331674,-1.27393861694734,0.000166783630598744,0.000522925858836432,0.0113644491259802,"interior_stable",5,1.875
0,14.95,1.02,-1.32633369837788,-1.32627482852351,5.8869854366872e-05,0.00184580838459559,0.00642932077964813,"interior_stable",5,1.875
1.25,14.95,1.02,-0.707322627354615,-0.706809082666591,0.000513544688024226,0.00319165018977665,0.0129659648579845,"interior_stable",5,1.875
2.5,14.95,1.02,0.143982417094955,0.143689296290994,0.000293120803961766,0.00449593515138687,0.0139498351857371,"interior_stable",5,1.875
3.75,14.95,1.02,0.722911475850927,0.721610888360585,0.00130058749034123,0.00349469008905145,0.0541953418043882,"interior_stable",5,1.875
-3.75,19.85,1.02,0.248321146147425,0.247930853998773,0.000390292148651411,0.00204436440504122,0.0407716692520501,"interior_stable",5,1.875
-2.5,19.85,1.02,-0.881583949453309,-0.881573736566597,1.02128867125462e-05,0.00219680929741289,0.0093682931465889,"interior_stable",5,1.875
-1.25,19.85,1.02,-1.59540568106578,-1.59560938131704,0.000203700251266925,4.27413190553455e-05,0.0123126289256536,"interior_stable",5,1.875
0,19.85,1.02,-1.59167860715577,-1.59167400491689,4.60223888354427e-06,0.00156791248606873,0.00250297638938359,"interior_stable",5,1.875
1.25,19.85,1.02,-0.958557827705933,-0.958130593511479,0.000427234194454451,0.00279809901207441,0.00712696059777551,"interior_stable",5,1.875
2.5,19.85,1.02,-0.0550402925379863,-0.055301280751905,0.000260988213918761,0.00488609847633305,0.00955083130334373,"interior_stable",5,1.875
3.75,19.85,1.02,0.623351837112268,0.621605379838598,0.00174645727367018,0.00262111376240421,0.0723407129027172,"interior_stable",5,1.875
-3.75,24.75,1.02,-0.0602619733788545,-0.060279836924337,1.78635454824647e-05,0.00211655761467523,0.0455819183801379,"interior_stable",5,1.875
-2.5,24.75,1.02,-1.20023357719869,-1.20021744408664,1.61331120447361e-05,0.00179379328676087,0.00851921706378822,"interior_stable",5,1.875
-1.25,24.75,1.02,-1.85168476642133,-1.85196153641589,0.000276769994565829,0.000324488489797175,0.0148859300290761,"interior_stable",5,1.875
0,24.75,1.02,-1.80229834094989,-1.80237682371104,7.84827611499672e-05,0.00132388672027058,0.00592043539140595,"interior_stable",5,1.875
1.25,24.75,1.02,-1.17367222345489,-1.17340846740988,0.000263756045006724,0.00210963413636655,0.00469657108149779,"interior_stable",5,1.875
2.5,24.75,1.02,-0.247071359065569,-0.247247183220271,0.000175824154701854,0.00411835322145775,0.00722779566101769,"interior_stable",5,1.875
3.75,24.75,1.02,0.516197988136452,0.514560489571387,0.00163749856506512,0.0015053738622592,0.0688127671793491,"interior_stable",5,1.875
