"method","alpha","b","alpha_gap_vs_reference","b_gap_vs_reference","alpha_error_vs_truth","b_error_vs_truth","criterion_gap_exact","criterion_gap_exact_pct","optimization_time","converged","fncount","grcount","replicate"
"chebyshev",1.04497453382539,0.266819593541032,0.0123000416792969,0.00213178736388309,-0.155025466174611,-0.0331804064589677,5.58897832196089,0.021236958683743,0.310000000000002,TRUE,12,12,26
"reference",1.09522003711549,0.2735643214121,0,0,-0.104779962884508,-0.0264356785879001,0,0,5.67000000000002,TRUE,7,7,27
"spline",1.0693917143935,0.287086750663627,-0.0258283227219909,0.0135224292515275,-0.130608285606499,-0.0129132493363727,3.75982550454864,0.0126962598185062,0.839999999999975,TRUE,49,49,27
"chebyshev",1.06963904563085,0.286831335527295,-0.0255809914846443,0.0132670141151954,-0.130360954369152,-0.0131686644727047,3.57743413577555,0.0120803567124193,0.71999999999997,TRUE,28,28,27
"reference",1.06817948660066,0.251109954563259,0,0,-0.131820513399339,-0.0488900454367411,0,0,9.57999999999998,TRUE,12,12,28
"spline",1.0509235372076,0.262554471228412,-0.0172559493930573,0.0114445166651527,-0.149076462792396,-0.0374455287715885,5.3148578960645,0.0197450614979542,0.20999999999998,TRUE,11,11,28
"chebyshev",1.05105482627047,0.262450305737514,-0.0171246603301907,0.0113403511742552,-0.14894517372953,-0.0375496942624859,5.21289512606381,0.0193662628163082,0.310000000000002,TRUE,11,11,28
"reference",1.11016189320814,0.354134417484632,0,0,-0.089838106791855,0.0541344174846322,0,0,9.56,TRUE,12,12,29
"spline",1.1179378460877,0.351024370861513,0.00777595287955335,-0.00311004662311959,-0.0820621539123016,0.0510243708615126,0.272123329013993,0.000781252922365814,0.490000000000009,TRUE,27,27,29
"chebyshev",1.11809812657537,0.350868693642406,0.00793623336722815,-0.00326572384222579,-0.0819018734246268,0.0508686936424064,0.268082499605953,0.000769651896480778,0.870000000000005,TRUE,28,28,29
"reference",1.05372430977167,0.331710573409972,0,0,-0.146275690228332,0.031710573409972,0,0,18.79,TRUE,23,23,30
"spline",1.05974872030089,0.331846369563936,0.00602441052921909,0.000135796153963808,-0.140251279699113,0.0318463695639358,0.971327981897048,0.00302031370944194,0.240000000000009,TRUE,13,13,30
"chebyshev",1.06008548584637,0.331593992817504,0.00636117607470732,-0.000116580592467552,-0.139914514153625,0.0315939928175045,0.936128278666729,0.00291086134297435,0.349999999999966,TRUE,13,13,30
"reference",1.02173459179789,0.511470083385293,0,0,-0.178265408202115,0.211470083385293,0,0,12.5,TRUE,16,16,31
"spline",1.04121548793315,0.494321537249346,0.0194808961352693,-0.0171485461359476,-0.158784512066846,0.194321537249346,1.11568445782905,0.00292504362971252,0.259999999999991,TRUE,16,16,31
"chebyshev",1.04118615375351,0.494303480394186,0.0194515619556217,-0.0171666029911069,-0.158813846246493,0.194303480394186,1.10648499174567,0.00290092494680437,0.389999999999986,TRUE,16,16,31
"reference",1.0975197881589,0.409989130838082,0,0,-0.102480211841098,0.109989130838082,0,0,9.63,TRUE,12,12,32
"spline",1.14367645453289,0.383242681885322,0.0461566663739854,-0.0267464489527598,-0.0563235454671125,0.0832426818853222,8.69522207069531,0.0223083696754764,0.25,TRUE,13,13,32
"chebyshev",1.14370624471405,0.383214029021807,0.046186456555152,-0.0267751018162747,-0.0562937552859459,0.0832140290218074,8.70054755281308,0.022322032676009,0.359999999999957,TRUE,13,13,32
"reference",1.06472650546418,0.381528258480304,0,0,-0.135273494535821,0.0815282584803036,0,0,10.1,TRUE,13,13,33
"spline",1.06407888727716,0.382956939309809,-0.000647618187015864,0.00142868082950509,-0.135921112722837,0.0829569393098087,0.0718344226988847,0.000209851983574377,0.259999999999991,TRUE,13,13,33
"chebyshev",1.06425562050318,0.382817016286508,-0.000470884960996454,0.00128875780620474,-0.135744379496817,0.0828170162865083,0.067207731292001,0.000196335895706712,0.319999999999993,TRUE,13,13,33
"reference",1.12425970205929,0.233821548446319,0,0,-0.0757402979407125,-0.0661784515536806,0,0,10.79,TRUE,13,13,34
