"replicate","method","delta","b","converged","delta_gap_vs_reference","b_gap_vs_reference","delta_error_vs_truth","b_error_vs_truth","criterion_gap_exact","criterion_gap_exact_pct"
22,"spline",5.10614781969676,0.253086106946975,TRUE,0.0191814737660057,0.0131408705507544,-0.893852180303244,-0.0969138930530253,0.0389296959959324,0.0367170926619656
22,"chebyshev",5.10503746376494,0.25058426153761,TRUE,0.018071117834185,0.0106390251413897,-0.894962536235065,-0.09941573846239,0.026180272855072,0.0246922941405876
23,"reference",6.04414882444571,0.324600244833493,TRUE,0,0,0.0441488244457124,-0.0253997551665072,0,0
23,"spline",6.13215628219734,0.335742677738024,TRUE,0.0880074577516314,0.0111424329045309,0.132156282197344,-0.0142573222619763,0.0406306115012853,0.0291121050731036
23,"chebyshev",6.13620388467079,0.33564579401388,TRUE,0.0920550602250758,0.0110455491803869,0.136203884670788,-0.0143542059861203,0.0432887222295335,0.0310166592000888
24,"reference",5.97633220359562,0.446559007868585,TRUE,0,0,-0.0236677964043794,0.0965590078685852,0,0
24,"spline",5.88728267559382,0.449277274207452,TRUE,-0.0890495280017962,0.00271826633886718,-0.112717324406176,0.0992772742074524,0.0298904981563055,0.0201326926652528
24,"chebyshev",5.88717940977552,0.45038097143931,FALSE,-0.0891527938201042,0.00382196357072456,-0.112820590224484,0.10038097143931,0.0300070600215179,0.0202112027053511
25,"reference",5.6688906850237,0.222675861047526,TRUE,0,0,-0.331109314976299,-0.127324138952474,0,0
25,"spline",5.71379030866788,0.28723611484645,TRUE,0.0448996236441817,0.0645602537989237,-0.286209691332117,-0.06276388515355,0.663585304359017,0.546073066104223
25,"chebyshev",5.71265755537892,0.290098709146773,TRUE,0.0437668703552179,0.0674228480992472,-0.287342444621081,-0.0599012908532265,0.719270984168958,0.591897543699134
26,"reference",6.02924339951793,0.360892249893196,TRUE,0,0,0.0292433995179273,0.0108922498931961,0,0
26,"spline",6.05773348709342,0.369756653308224,TRUE,0.0284900875754932,0.00886440341502781,0.0577334870934205,0.019756653308224,0.0159949280732121,0.0108407396494133
26,"chebyshev",6.05555683661067,0.373693986538597,TRUE,0.0263134370927398,0.0128017366454008,0.0555568366106671,0.0236939865385969,0.0277143447512174,0.0187837040983764
27,"reference",5.17099337330116,0.415232067245156,TRUE,0,0,-0.829006626698844,0.0652320672451559,0,0
27,"spline",5.16437239084788,0.434505617135878,TRUE,-0.0066209824532768,0.0192735498907219,-0.83562760915212,0.0845056171358778,0.0419673979793345,0.0348885830245011
27,"chebyshev",5.17969657264622,0.428675439707517,TRUE,0.00870319934506192,0.013443372462361,-0.820303427353782,0.0786754397075169,0.0225581740640877,0.0187531933503148
28,"reference",5.76837355690527,0.336125553506937,TRUE,0,0,-0.231626443094729,-0.0138744464930626,0,0
28,"spline",5.89908906203097,0.372179110752897,TRUE,0.130715505125699,0.03605355724596,-0.10091093796903,0.0221791107528974,0.241807607411744,0.182067201143815
28,"chebyshev",5.88991205739291,0.377501286450771,TRUE,0.121538500487636,0.0413757329438335,-0.110087942607093,0.0275012864507709,0.275525593796033,0.207454902858011
29,"reference",6.81713819943646,0.2851391918731,TRUE,0,0,0.817138199436461,-0.0648608081269003,0,0
29,"spline",6.71424314152788,0.280475270078099,TRUE,-0.102895057908579,-0.00466392179500075,0.714243141527882,-0.0695247299219011,0.0388771321752586,0.0238107070229896
29,"chebyshev",6.69770842975091,0.280280162965997,TRUE,-0.119429769685553,-0.00485902890710294,0.697708429750908,-0.0697198370340033,0.0508472266507454,0.031141916827984
30,"reference",6.06658916424456,0.388573587334982,TRUE,0,0,0.0665891642445562,0.0385735873349822,0,0
30,"spline",6.16948468429229,0.397938923437247,TRUE,0.102895520047733,0.00936533610226514,0.169484684292289,0.0479389234372474,0.0545793260374978,0.0383288668228626
30,"chebyshev",6.17306773365374,0.398575279015446,TRUE,0.106478569409181,0.0100016916804637,0.173067733653737,0.0485752790154459,0.0593075438566188,0.041649304143288
31,"reference",6.41844226188473,0.103344126138348,TRUE,0,0,0.418442261884729,-0.246655873861652,0,0
31,"spline",6.41802372307119,0.122834466142116,TRUE,-0.000418538813542924,0.0194903400037673,0.418023723071186,-0.227165533857884,0.0598907654637912,0.0419386351244021
31,"chebyshev",6.41510022919629,0.13181595848397,TRUE,-0.00334203268843503,0.0284718323456211,0.415100229196294,-0.21818404151603,0.122702014125281,0.08592234478186
32,"reference",8.16243283440132,0.296470624279423,TRUE,0,0,2.16243283440132,-0.0535293757205771,0,0
32,"spline",8.27703241230936,0.336349710904117,TRUE,0.114599577908043,0.0398790866246941,2.27703241230936,-0.0136502890958831,0.344335294935149,0.174135382163622
32,"chebyshev",8.27114222788808,0.337303429622329,TRUE,0.108709393486762,0.0408328053429065,2.27114222788808,-0.0126965703776706,0.351789408348253,0.177905036064847
33,"reference",6.59129097340971,0.331415276294368,TRUE,0,0,0.591290973409708,-0.0185847237056316,0,0
33,"spline",6.59935080500467,0.338168892836612,TRUE,0.00805983159496027,0.00675361654224321,0.599350805004669,-0.0118311071633884,0.00708600944619775,0.00440474037729203
33,"chebyshev",6.60309930961932,0.335568157861693,TRUE,0.0118083362096115,0.00415288156732441,0.60309930961932,-0.0144318421383072,0.00322682762237037,0.00200583107131513
34,"reference",4.75144801796474,0.456690328303308,TRUE,0,0,-1.24855198203526,0.106690328303308,0,0
34,"spline",4.77738009291599,0.474968602737391,TRUE,0.0259320749512462,0.0182782744340828,-1.22261990708401,0.124968602737391,0.0372241767152417,0.0357110957742087
34,"chebyshev",4.77797779859475,0.475483431125802,TRUE,0.0265297806300131,0.0187931028224936,-1.22202220140525,0.125483431125802,0.0392927250451294,0.0376955621624727
35,"reference",5.82675003202351,0.355307679520759,TRUE,0,0,-0.173249967976486,0.00530767952075945,0,0
35,"spline",5.82886518014712,0.362094975858437,TRUE,0.00211514812360747,0.00678729633767794,-0.171134819852878,0.0120949758584374,0.00758439404430078,0.0054922621798652
35,"chebyshev",5.83395318101423,0.362267915213152,TRUE,0.0072031489907145,0.00696023569239235,-0.166046818985771,0.0122679152131518,0.00847272207721517,0.00613554764604638
