"x","q","t","region","q_low_cut","t_high_cut","series_reference","geomodels_reference","abs_diff","rel_diff"
-2.5,19.85,0.56,"interior_stable",5,1.875,-0.132747070998772,-0.132747070927884,7.0888628300736e-11,7.0888628300736e-11
-1.25,19.85,0.56,"interior_stable",5,1.875,-0.449130600349378,-0.449130600342964,6.41409148016692e-12,6.41409148016692e-12
0,19.85,0.56,"interior_stable",5,1.875,-0.441926529489232,-0.441926529487102,2.1298518504409e-12,2.1298518504409e-12
1.25,19.85,0.56,"interior_stable",5,1.875,-0.209428300458822,-0.209428300458273,5.4900528567714e-13,5.4900528567714e-13
2.5,19.85,0.56,"interior_stable",5,1.875,0.0766476026965404,0.0766476026973801,8.39772695826468e-13,8.39772695826468e-13
3.75,19.85,0.56,"interior_stable",5,1.875,0.265471504621302,0.265471504622331,1.02939878843245e-12,1.02939878843245e-12
-3.75,24.75,0.56,"interior_stable",5,1.875,0.277007745678964,0.277007745771456,9.24917920031021e-11,9.24917920031021e-11
-2.5,24.75,0.56,"interior_stable",5,1.875,-0.24845634456691,-0.248456344536263,3.06473735278701e-11,3.06473735278701e-11
-1.25,24.75,0.56,"interior_stable",5,1.875,-0.533783588151904,-0.533783588135114,1.67897917791038e-11,1.67897917791038e-11
0,24.75,0.56,"interior_stable",5,1.875,-0.508552726969943,-0.508552726966362,3.58069129902105e-12,3.58069129902105e-12
1.25,24.75,0.56,"interior_stable",5,1.875,-0.276670005872786,-0.276670005872045,7.40074668215129e-13,7.40074668215129e-13
2.5,24.75,0.56,"interior_stable",5,1.875,0.0214224304758837,0.0214224304772692,1.3855583347322e-12,1.3855583347322e-12
3.75,24.75,0.56,"interior_stable",5,1.875,0.23733648489387,0.237336484894545,6.75015598972095e-13,6.75015598972095e-13
-3.75,0.25,1.02,"low_separation",5,1.875,1.69949239423322,1.69963090129365,0.00013850706042895,8.14990763706484e-05
-2.5,0.25,1.02,"low_separation",5,1.875,0.99384237572048,0.993962308423483,0.000119932703003478,0.000119932703003478
-1.25,0.25,1.02,"low_separation",5,1.875,0.404824075373922,0.404840625588585,1.65502146636243e-05,1.65502146636243e-05
0,0.25,1.02,"low_separation",5,1.875,0.154730880254823,0.154731072274088,1.92019264932952e-07,1.92019264932952e-07
1.25,0.25,1.02,"low_separation",5,1.875,0.370701390801861,0.370701391119332,3.17470938426823e-10,3.17470938426823e-10
2.5,0.25,1.02,"low_separation",5,1.875,0.750982704244809,0.750982704252731,7.92255150372512e-12,7.92255150372512e-12
3.75,0.25,1.02,"low_separation",5,1.875,0.966916342991041,0.966916342993089,2.04813943582849e-12,2.04813943582849e-12
-3.75,5.15,1.02,"transition",5,1.875,1.30270448861863,1.3027640340068,5.95453881677699e-05,4.57090527345238e-05
-2.5,5.15,1.02,"transition",5,1.875,0.413055938086778,0.413064942981003,9.00489422495099e-06,9.00489422495099e-06
-1.25,5.15,1.02,"transition",5,1.875,-0.323755848017201,-0.323755053894842,7.94122358982463e-07,7.94122358982463e-07
0,5.15,1.02,"transition",5,1.875,-0.514495623026699,-0.51449561465412,8.37257907448929e-09,8.37257907448929e-09
1.25,5.15,1.02,"transition",5,1.875,-0.0567658206662345,-0.0567658205567327,1.09501741007989e-10,1.09501741007989e-10
2.5,5.15,1.02,"transition",5,1.875,0.551174362844373,0.551174362850009,5.63638025141699e-12,5.63638025141699e-12
3.75,5.15,1.02,"transition",5,1.875,0.895355902609875,0.895355902612712,2.8368418725222e-12,2.8368418725222e-12
-3.75,10.05,1.02,"interior_stable",5,1.875,0.929133559551707,0.92915903309105,2.54735393427907e-05,2.54735393427907e-05
-2.5,10.05,1.02,"interior_stable",5,1.875,-0.0846022480931961,-0.0846005717449145,1.67634828152075e-06,1.67634828152075e-06
-1.25,10.05,1.02,"interior_stable",5,1.875,-0.86244556463982,-0.862445439968901,1.24670918921765e-07,1.24670918921765e-07
0,10.05,1.02,"interior_stable",5,1.875,-0.981452718131152,-0.981452716108123,2.02302929963594e-09,2.02302929963594e-09
1.25,10.05,1.02,"interior_stable",5,1.875,-0.410772222746656,-0.410772222702567,4.40896208431241e-11,4.40896208431241e-11
2.5,10.05,1.02,"interior_stable",5,1.875,0.347286626375805,0.347286626379848,4.04343225568482e-12,4.04343225568482e-12
3.75,10.05,1.02,"interior_stable",5,1.875,0.813845555387175,0.813845555389404,2.22932783344731e-12,2.22932783344731e-12
-3.75,14.95,1.02,"interior_stable",5,1.875,0.577908434032287,0.577919312332846,1.08783005590141e-05,1.08783005590141e-05
-2.5,14.95,1.02,"interior_stable",5,1.875,-0.512599439141137,-0.512598312245058,1.12689607911776e-06,1.12689607911776e-06
-1.25,14.95,1.02,"interior_stable",5,1.875,-1.27377183331674,-1.27377182276222,1.05545154838182e-08,8.28603303021361e-09
0,14.95,1.02,"interior_stable",5,1.875,-1.32633369837788,-1.32633369785683,5.21047649471029e-10,3.92848081978371e-10
1.25,14.95,1.02,"interior_stable",5,1.875,-0.707322627354615,-0.707322627320198,3.44169137633799e-11,3.44169137633799e-11
2.5,14.95,1.02,"interior_stable",5,1.875,0.143982417094955,0.143982417100455,5.49960077478318e-12,5.49960077478318e-12
3.75,14.95,1.02,"interior_stable",5,1.875,0.722911475850927,0.722911475853607,2.68052247065498e-12,2.68052247065498e-12
-3.75,19.85,1.02,"interior_stable",5,1.875,0.248321146147425,0.248322146595672,1.00044824780099e-06,1.00044824780099e-06
-2.5,19.85,1.02,"interior_stable",5,1.875,-0.881583949453309,-0.881583689234037,2.60219272352202e-07,2.60219272352202e-07
-1.25,19.85,1.02,"interior_stable",5,1.875,-1.59540568106578,-1.59540567752271,3.5430653966273e-09,2.22079276680301e-09
0,19.85,1.02,"interior_stable",5,1.875,-1.59167860715577,-1.59167860706196,9.38094046887272e-11,5.89374037365236e-11
1.25,19.85,1.02,"interior_stable",5,1.875,-0.958557827705933,-0.958557827695327,1.06057385096392e-11,1.06057385096392e-11
2.5,19.85,1.02,"interior_stable",5,1.875,-0.0550402925379863,-0.0550402925353963,2.58992827184557e-12,2.58992827184557e-12
3.75,19.85,1.02,"interior_stable",5,1.875,0.623351837112268,0.623351837114076,1.80833126250945e-12,1.80833126250945e-12
-3.75,24.75,1.02,"interior_stable",5,1.875,-0.0602619733788545,-0.0602615804594442,3.92919410341364e-07,3.92919410341364e-07
-2.5,24.75,1.02,"interior_stable",5,1.875,-1.20023357719869,-1.20023351369095,6.35077372912463e-08,5.29128150534428e-08
-1.25,24.75,1.02,"interior_stable",5,1.875,-1.85168476642133,-1.85168476470006,1.72126801700756e-09,9.29568600563789e-10
0,24.75,1.02,"interior_stable",5,1.875,-1.80229834094989,-1.80229834087664,7.32434113359659e-11,4.06388940564433e-11
1.25,24.75,1.02,"interior_stable",5,1.875,-1.17367222345489,-1.17367222344391,1.0976552999864e-11,9.35231556179526e-12
2.5,24.75,1.02,"interior_stable",5,1.875,-0.247071359065569,-0.247071359063057,2.5122126601218e-12,2.5122126601218e-12
3.75,24.75,1.02,"interior_stable",5,1.875,0.516197988136452,0.516197988138393,1.94155802546447e-12,1.94155802546447e-12
-3.75,0.25,1.48,"low_separation",5,1.875,2.17430247881351,2.26624546127195,0.0919429824584359,0.0422861967708411
-2.5,0.25,1.48,"low_separation",5,1.875,1.3354848389169,1.41755274616538,0.082067907248474,0.0614517700665417
-1.25,0.25,1.48,"low_separation",5,1.875,0.691877143373993,0.719072517033434,0.0271953736594419,0.0271953736594419
0,0.25,1.48,"low_separation",5,1.875,0.400688756978353,0.401855162781684,0.00116640580333094,0.00116640580333094
1.25,0.25,1.48,"low_separation",5,1.875,0.608512995973677,0.608514224010377,1.22803669988514e-06,1.22803669988514e-06
2.5,0.25,1.48,"low_separation",5,1.875,1.15158392347546,1.15158392421256,7.37093941438616e-10,6.40069669619976e-10
3.75,0.25,1.48,"low_separation",5,1.875,1.61191384942856,1.61191384944328,1.47188927712705e-11,9.13131478862126e-12
-3.75,5.15,1.48,"transition",5,1.875,1.2544623388741,1.28886098032162,0.034398641447523,0.0274210236382197
-2.5,5.15,1.48,"transition",5,1.875,-0.02725475394484,-0.0184217948793366,0.00883295906550341,0.00883295906550341
-1.25,5.15,1.48,"transition",5,1.875,-1.11076322385667,-1.10997104428955,0.000792179567120854,0.000713184907554228
0,5.15,1.48,"transition",5,1.875,-1.36774309165183,-1.36773267799691,1.04136549170519e-05,7.61375069675936e-06
1.25,5.15,1.48,"transition",5,1.875,-0.572985168365665,-0.572985110189043,5.81766217422341e-08,5.81766217422341e-08
2.5,5.15,1.48,"transition",5,1.875,0.603984655041454,0.60398465531873,2.77276868132503e-10,2.77276868132503e-10
3.75,5.15,1.48,"transition",5,1.875,1.41027503434785,1.41027503436066,1.28022037415576e-11,9.0778064063778e-12
-3.75,10.05,1.48,"transition",5,1.875,0.45791716770263,0.464420380761269,0.00650321305863955,0.00650321305863955
-2.5,10.05,1.48,"transition",5,1.875,-1.07746533663426,-1.07621932722303,0.00124600941122299,0.00115642644719804
-1.25,10.05,1.48,"transition",5,1.875,-2.24319256418778,-2.24314838785546,4.41763323228983e-05,1.96935087197446e-05
0,10.05,1.48,"transition",5,1.875,-2.40292934344417,-2.40292897743436,3.66009817120982e-07,1.52318177028198e-07
1.25,10.05,1.48,"transition",5,1.875,-1.4149987198486,-1.41499871419115,5.65745139624596e-09,3.99820248378124e-09
2.5,10.05,1.48,"transition",5,1.875,0.0859545379068782,0.0859545380388411,1.31962885063786e-10,1.31962885063786e-10
3.75,10.05,1.48,"transition",5,1.875,1.186883063515,1.18688306352734,1.23421273201529e-11,1.03987728021001e-11
-3.75,14.95,1.48,"transition",5,1.875,-0.24939028771822,-0.247305425122835,0.00208486259538532,0.00208486259538532
-2.5,14.95,1.48,"transition",5,1.875,-1.89928987181084,-1.89911014593333,0.000179725877513803,9.46279344618664e-05
-1.25,14.95,1.48,"transition",5,1.875,-3.02735903270558,-3.02735702511038,2.00759520785354e-06,6.63150682216682e-07
0,14.95,1.48,"transition",5,1.875,-3.09506693663115,-3.0950669105951,2.60360515369484e-08,8.4121125875512e-09
1.25,14.95,1.48,"transition",5,1.875,-2.0512756328111,-2.0512756316918,1.11929665536081e-09,5.45658826857369e-10
2.5,14.95,1.48,"transition",5,1.875,-0.397136717455663,-0.397136717392298,6.33644248182463e-11,6.33644248182463e-11
3.75,14.95,1.48,"transition",5,1.875,0.944979558360572,0.944979558369579,9.00701735417897e-12,9.00701735417897e-12
-3.75,19.85,1.48,"transition",5,1.875,-0.872055989008349,-0.87138865660464,0.000667332403709864,0.000667332403709864
-2.5,19.85,1.48,"transition",5,1.875,-2.56033169714261,-2.56030430541676,2.73917258466483e-05,1.06985067119304e-05
-1.25,19.85,1.48,"transition",5,1.875,-3.60388575857893,-3.60388550411305,2.54465878146704e-07,7.06087526611952e-08
0,19.85,1.48,"transition",5,1.875,-3.59364932440962,-3.59364931972206,4.68755612104133e-09,1.30439998393873e-09
1.25,19.85,1.48,"transition",5,1.875,-2.55164946787201,-2.55164946758145,2.90558688220699e-10,1.13870926190742e-10
2.5,19.85,1.48,"transition",5,1.875,-0.843169759572363,-0.843169759533385,3.897770994854e-11,3.897770994854e-11
3.75,19.85,1.48,"transition",5,1.875,0.688282402394734,0.688282402402669,7.93409782318122e-12,7.93409782318122e-12
-3.75,24.75,1.48,"transition",5,1.875,-1.42473290828341,-1.42451769834369,0.000215209939722349,0.000151052831356051
-2.5,24.75,1.48,"transition",5,1.875,-3.10283267337874,-3.10282818663304,4.48674570430185e-06,1.44601600427784e-06
-1.25,24.75,1.48,"transition",5,1.875,-4.04447038509113,-4.04447033552579,4.95653349474878e-08,1.22550866314159e-08
0,24.75,1.48,"transition",5,1.875,-3.97096698885209,-3.9709669879611,8.90987728041637e-10,2.24375506153276e-10
1.25,24.75,1.48,"transition",5,1.875,-2.95684658102891,-2.95684658091837,1.10538689312989e-10,3.73839786014613e-11
2.5,24.75,1.48,"transition",5,1.875,-1.25220642047574,-1.25220642045461,2.11324291399251e-11,1.68761545974955e-11
3.75,24.75,1.48,"transition",5,1.875,0.420741328007446,0.420741328014559,7.1134209633783e-12,7.1134209633783e-12
-3.75,0.25,1.94,"high_t_low_q",5,1.875,1.34060772187038,2.68939940404242,1.34879168217205,1.00610466445043
-2.5,0.25,1.94,"high_t_low_q",5,1.875,0.608947578854231,1.74300173930215,1.13405416044792,1.13405416044792
-1.25,0.25,1.94,"high_t_low_q",5,1.875,0.185532048342314,0.952892706308134,0.767360657965821,0.767360657965821
0,0.25,1.94,"high_t_low_q",5,1.875,0.424019363316029,0.607747052401628,0.183727689085599,0.183727689085599
1.25,0.25,1.94,"high_t_low_q",5,1.875,0.860348857913984,0.863170673567065,0.00282181565308193,0.00282181565308193
2.5,0.25,1.94,"high_t_low_q",5,1.875,1.46247389669185,1.46247470466395,8.0797209989214e-07,5.52469416185679e-07
3.75,0.25,1.94,"high_t_low_q",5,1.875,2.13252954626164,2.13252954682263,5.60985924380475e-10,2.6306126701217e-10
-3.75,5.15,1.94,"high_dependence",5,1.875,0.13483158403303,0.548820437377492,0.413988853344462,0.413988853344462
-2.5,5.15,1.94,"high_dependence",5,1.875,-1.46492474450725,-1.25920040410098,0.205724340406272,0.140433384839486
-1.25,5.15,1.94,"high_dependence",5,1.875,-2.7629246387879,-2.73659528796335,0.0263293508245539,0.00952952188956722
0,5.15,1.94,"high_dependence",5,1.875,-3.0236626609624,-3.02272771717568,0.000934943786720766,0.000309209026123034
